measurement,b,c
OD bigbird,0.9920437716472383,-0.002822293442112933
OD K,1.0049707068676943,-0.011120790466132346
OD elmo,0.9719832895195767,-0.011942906009093646
YFP bigbird,0.5368726005337625,2.001850708003726
YFP K,0.3765745115332435,1.8463440646809055
YFP elmo,0.3526886986560028,6.7525407599198415
mCherry bigbird,0.6610310411969789,-12.482579928931873
mCherry K,0.5231048295606654,-18.298926069646328
mCherry elmo,0.3803155896073294,-24.759831871067437
